ORDER_REQUEST: {'action': 1, 'symbol': 'GOLD', 'volume': 0.01, 'type': 1, 'price': 4763.21, 'magic': 9999, 'comment': 'GS | L1', 'type_time': 0, 'type_filling': 1, 'sl': 4766.01, 'tp': 4759.01}
ORDER_REQUEST: {'action': 1, 'symbol': 'GOLD', 'volume': 0.01, 'type': 1, 'price': 4761.79, 'magic': 9999, 'comment': 'GS | L1', 'type_time': 0, 'type_filling': 1, 'sl': 4764.91, 'tp': 4757.91}
ORDER_REQUEST: {'action': 1, 'symbol': 'GOLD', 'volume': 0.01, 'type': 1, 'price': 4761.86, 'magic': 9999, 'comment': 'GS | L1', 'type_time': 0, 'type_filling': 1, 'sl': 4764.74, 'tp': 4757.74}
ORDER_REQUEST: {'action': 1, 'symbol': 'GOLD', 'volume': 0.01, 'type': 1, 'price': 4758.51, 'magic': 9999, 'comment': 'GS | L1', 'type_time': 0, 'type_filling': 1, 'sl': 4761.72, 'tp': 4754.72}
ORDER_REQUEST: {'action': 1, 'symbol': 'GOLD', 'volume': 0.01, 'type': 1, 'price': 4758.32, 'magic': 9999, 'comment': 'GS | L1', 'type_time': 0, 'type_filling': 1, 'sl': 4760.05, 'tp': 4753.05}
ORDER_REQUEST: {'action': 1, 'symbol': 'GOLD', 'volume': 0.01, 'type': 1, 'price': 4757.98, 'magic': 9999, 'comment': 'GS | L1', 'type_time': 0, 'type_filling': 1, 'sl': 4760.84, 'tp': 4753.84}
ORDER_REQUEST: {'action': 1, 'symbol': 'GOLD', 'volume': 0.01, 'type': 1, 'price': 4756.88, 'magic': 9999, 'comment': 'GS | L1', 'type_time': 0, 'type_filling': 1, 'sl': 4759.68, 'tp': 4752.68}
ORDER_REQUEST: {'action': 1, 'symbol': 'GOLD', 'volume': 0.01, 'type': 1, 'price': 4755.94, 'magic': 9999, 'comment': 'GS | L1', 'type_time': 0, 'type_filling': 1, 'sl': 4759.01, 'tp': 4752.01}
ORDER_REQUEST: {'action': 1, 'symbol': 'GOLD', 'volume': 0.01, 'type': 1, 'price': 4756.4, 'magic': 9999, 'comment': 'GS | L1', 'type_time': 0, 'type_filling': 1, 'sl': 4759.29, 'tp': 4752.29}
ORDER_REQUEST: {'action': 1, 'symbol': 'GOLD', 'volume': 0.01, 'type': 1, 'price': 4760.09, 'magic': 9999, 'comment': 'GS | L1', 'type_time': 0, 'type_filling': 1, 'sl': 4763.03, 'tp': 4756.03}
ORDER_REQUEST: {'action': 1, 'symbol': 'GOLD', 'volume': 0.01, 'type': 1, 'price': 4759.12, 'magic': 9999, 'comment': 'GS | L1', 'type_time': 0, 'type_filling': 1, 'sl': 4762.28, 'tp': 4755.28}
ORDER_REQUEST: {'action': 1, 'symbol': 'GOLD', 'volume': 0.1, 'type': 1, 'price': 4758.38, 'magic': 123456, 'comment': 'Rapid Analysis Entry (H1)', 'type_time': 0, 'type_filling': 1, 'sl': 4760.38, 'tp': 4754.38}
ORDER_REQUEST: {'action': 1, 'symbol': 'GOLD', 'volume': 0.01, 'type': 1, 'price': 4758.99, 'magic': 9999, 'comment': 'GS | L1', 'type_time': 0, 'type_filling': 1, 'sl': 4762.0, 'tp': 4755.0}
ORDER_REQUEST: {'action': 1, 'symbol': 'GOLD', 'volume': 0.01, 'type': 1, 'price': 4759.18, 'magic': 9999, 'comment': 'GS | L1', 'type_time': 0, 'type_filling': 1, 'sl': 4762.05, 'tp': 4755.05}
ORDER_REQUEST: {'action': 1, 'symbol': 'GOLD', 'volume': 0.01, 'type': 0, 'price': 4842.65, 'magic': 9999, 'comment': 'GSL1', 'type_time': 0, 'type_filling': 1, 'sl': 4839.04, 'tp': 4846.04}
ORDER_REQUEST: {'action': 1, 'symbol': 'GOLD', 'volume': 0.01, 'type': 0, 'price': 4844.09, 'magic': 9999, 'comment': 'GSL1', 'type_time': 0, 'type_filling': 1, 'sl': 4840.57, 'tp': 4847.57}
ORDER_REQUEST: {'action': 1, 'symbol': 'GOLD', 'volume': 0.01, 'type': 0, 'price': 4839.23, 'magic': 9999, 'comment': 'GSL1', 'type_time': 0, 'type_filling': 1, 'sl': 4836.3, 'tp': 4843.3}
ORDER_REQUEST: {'action': 1, 'symbol': 'XAUUSD', 'volume': 0.01, 'type': 1, 'price': 4534.33, 'magic': 9999, 'comment': 'GSL1M', 'type_time': 0, 'type_filling': 1, 'sl': 3370.5, 'tp': 3350.5}
ORDER_REQUEST: {'action': 1, 'symbol': 'XAUUSD', 'volume': 0.01, 'type': 1, 'price': 4535.16, 'magic': 9999, 'comment': 'GSL1M', 'type_time': 0, 'type_filling': 1}
ORDER_REQUEST: {'action': 1, 'symbol': 'XAUUSD', 'volume': 0.01, 'type': 1, 'price': 4535.35, 'magic': 9999, 'comment': 'GSL1M', 'type_time': 0, 'type_filling': 1, 'sl': 4547.12, 'tp': 4510.13}
ORDER_REQUEST: {'action': 1, 'symbol': 'XAUUSD', 'volume': 0.01, 'type': 0, 'price': 4533.81, 'magic': 9999, 'comment': 'GSL1', 'type_time': 0, 'type_filling': 1, 'sl': 4521.48, 'tp': 4558.47}
ORDER_REQUEST: {'action': 1, 'symbol': 'XAUUSD', 'volume': 0.01, 'type': 0, 'price': 4536.13, 'magic': 9999, 'comment': 'GSL1', 'type_time': 0, 'type_filling': 1, 'sl': 4523.8, 'tp': 4560.79}
ORDER_REQUEST: {'action': 1, 'symbol': 'XAUUSD', 'volume': 0.01, 'type': 0, 'price': 4534.65, 'magic': 9999, 'comment': 'GSL1M', 'type_time': 0, 'type_filling': 1, 'sl': 4522.32, 'tp': 4559.31}
ORDER_REQUEST: {'action': 1, 'symbol': 'XAUUSD', 'volume': 0.01, 'type': 0, 'price': 4534.9, 'magic': 9999, 'comment': 'GSL1', 'type_time': 0, 'type_filling': 1, 'sl': 4522.32, 'tp': 4560.05}
