ORDER_REQUEST: {'action': 1, 'symbol': 'EURUSD', 'volume': 0.01, 'type': 1, 'price': 1.15592, 'magic': 8888, 'comment': 'AlphaV2 | VSA No Demand', 'type_time': 0, 'type_filling': 1, 'sl': 1.15823, 'tp': 1.14898}
ORDER_REQUEST: {'action': 1, 'symbol': 'EURUSD', 'volume': 0.01, 'type': 1, 'price': 1.15592, 'magic': 8888, 'comment': 'AlphaV2 | VSA No Demand', 'type_time': 0, 'type_filling': 1, 'sl': 1.15823, 'tp': 1.14898}
ORDER_REQUEST: {'action': 1, 'symbol': 'BTCUSD', 'volume': 0.01, 'type': 0, 'price': 68308.31, 'magic': 8888, 'comment': 'AlphaV2 | VSA No Supply', 'type_time': 0, 'type_filling': 1, 'sl': 67488.61, 'tp': 70016.02}
ORDER_REQUEST: {'action': 1, 'symbol': 'BTCUSD', 'volume': 0.01, 'type': 0, 'price': 68308.31, 'magic': 8888, 'comment': 'AlphaV2 | VSA No Supply', 'type_time': 0, 'type_filling': 1, 'sl': 67488.61, 'tp': 70016.02}
ORDER_REQUEST: {'action': 1, 'symbol': 'BTCUSD', 'volume': 0.01, 'type': 0, 'price': 68308.31, 'magic': 8888, 'comment': 'AlphaV2 | VSA No Supply', 'type_time': 0, 'type_filling': 1, 'sl': 67488.61, 'tp': 70016.02}
ORDER_REQUEST: {'action': 1, 'symbol': 'BTCUSD', 'volume': 0.01, 'type': 1, 'price': 68250.31, 'magic': 8888, 'comment': 'AlphaV2 | Shark Hunt XAU', 'type_time': 0, 'type_filling': 1, 'sl': 69274.06, 'tp': 64155.29}
ORDER_REQUEST: {'action': 1, 'symbol': 'BTCUSD', 'volume': 0.01, 'type': 1, 'price': 68250.31, 'magic': 8888, 'comment': 'AlphaV2 | Shark Hunt XAU', 'type_time': 0, 'type_filling': 1, 'sl': 69274.06, 'tp': 64155.29}
ORDER_REQUEST: {'action': 1, 'symbol': 'BTCUSD', 'volume': 0.01, 'type': 1, 'price': 68250.31, 'magic': 8888, 'comment': 'AlphaV2 | Shark Hunt XAU', 'type_time': 0, 'type_filling': 1, 'sl': 69274.06, 'tp': 64155.29}
ORDER_REQUEST: {'action': 1, 'symbol': 'BTCUSD', 'volume': 0.01, 'type': 1, 'price': 68250.31, 'magic': 8888, 'comment': 'AlphaV2 | Shark Hunt XAU', 'type_time': 0, 'type_filling': 1, 'sl': 69274.06, 'tp': 64155.29}
ORDER_REQUEST: {'action': 1, 'symbol': 'GOLD', 'volume': 0.01, 'type': 0, 'price': 4498.97, 'magic': 9999, 'comment': 'GOLD SCALPER | Grid L1', 'type_time': 0, 'type_filling': 1, 'sl': 4488.97, 'tp': 4503.97}
ORDER_REQUEST: {'action': 1, 'symbol': 'GOLD', 'volume': 0.01, 'type': 1, 'price': 4490.3, 'magic': 9999, 'comment': 'GOLD SCALPER | Grid L1', 'type_time': 0, 'type_filling': 1, 'sl': 4500.31, 'tp': 4485.31}
