================================================================================
  WOLF BOT — RELATORIO DE BACKTEST
  Estrategia: SMC + Wyckoff + FVG 50% + Scale-Out + BE+Custos
  Data: 2026-06-08 23:01
================================================================================

============================= PARAMETROS DO TESTE ==============================
  Simbolo:           EURUSD
  Timeframe:         1h
  Capital Inicial:   $10000.00
  Volume Fixo:       0.1 lots
  Swing Period:      5
  Min R:R:           2.0
  BE Padding:        20 pips
  Comissao:          $3.0/lot
  Alavancagem:       1:100

============================ RESUMO DE PERFORMANCE =============================
  Total Trades:      450 (parciais: 0)
  Trades Principais: 450
  Wins:              146
  Losses:            304
  Win Rate:          32.4%
  Lucro Total:       $1043.22
  Retorno:           10.43%
  Profit Factor:     2.96
  Avg Win:           $10.78
  Avg Loss:          $1.75
  Max Drawdown:      0.88%
  DD Value:          $90.73
  Sharpe Ratio:      4.38
  Saldo Final:       $11012.32

========================== DISTRIBUICAO DE RESULTADOS ==========================
  Maior Win:         $65.28
  Maior Loss:        $-13.09
  Media PnL:         $2.32
  Mediana PnL:       $-0.69
  Desvio Padrao:     $8.40
  Trades Positivos:  146
  Trades Negativos:  304

============================== ANALISE BE+CUSTOS ===============================
  Total BE+Custos:   42 acionamentos
  PnL Apos BE:       $284.19

=============================== CURVA DE EQUITY ================================
  Equity Inicial:    $10000.00
  Equity Final:      $11012.43
  Pico Maximo:       $11021.87
  Vale Minimo:       $9963.08
  Drawdown Medio:    0.18%

=============================== TABELA DE TRADES ===============================
    # Acao    Entrada      Saida  Volume        PnL Result Parcial  Conf
  ------------------------------------------------------------------------
    1  BUY       1.16       1.16    0.02      -5.25   LOSS             C
    2  BUY       1.16       1.16    0.01      -2.63   LOSS             C
    3  BUY       1.16       1.16    0.02      -1.58   LOSS             C
    4  BUY       1.16       1.16    0.01      -0.79   LOSS             C
    5 SELL       1.16       1.16    0.06      -9.64   LOSS             B
    6 SELL       1.16       1.16    0.04      -6.43   LOSS             B
    7 SELL       1.17       1.17    0.06      -5.90   LOSS             B
    8 SELL       1.17       1.17    0.04      -3.93   LOSS             B
    9 SELL       1.17       1.16    0.02      31.96    WIN             C
   10 SELL       1.17       1.16    0.01      16.49    WIN             C
   11  BUY       1.16       1.17    0.02      18.30    WIN             C
   12  BUY       1.16       1.17    0.01       9.46    WIN             C
   13  BUY       1.16       1.17    0.02       2.44    WIN             C
   14  BUY       1.16       1.17    0.01       2.00    WIN             C
   15 SELL       1.17       1.17    0.06      -7.51   LOSS             A
   16 SELL       1.17       1.17    0.04      -5.01   LOSS             A
   17  BUY       1.17       1.17    0.02      -0.30   LOSS             C
   18  BUY       1.17       1.17    0.01      -0.15   LOSS             C
   19  BUY       1.16       1.16    0.02      -3.03   LOSS             C
   20  BUY       1.16       1.16    0.01      -1.51   LOSS             C
   21  BUY       1.16       1.16    0.02      -4.16   LOSS             C
   22  BUY       1.16       1.16    0.01      -2.08   LOSS             C
   23  BUY       1.16       1.16    0.02      -2.27   LOSS             C
   24  BUY       1.16       1.16    0.01      -1.13   LOSS             C
   25  BUY       1.16       1.17    0.02      11.78    WIN             C
   26  BUY       1.16       1.17    0.01       6.91    WIN             C
   27 SELL       1.18       1.18    0.06      -5.36   LOSS             B
   28 SELL       1.18       1.18    0.04      -3.57   LOSS             B
   29 SELL       1.18       1.17    0.02      14.20    WIN             C
   30 SELL       1.18       1.17    0.01       7.39    WIN             C
   31 SELL       1.17       1.17    0.06      23.04    WIN             B
   32 SELL       1.17       1.17    0.04      21.63    WIN             B
   33  BUY       1.17       1.17    0.02      -2.04   LOSS             C
   34  BUY       1.17       1.17    0.01      -1.02   LOSS             C
   35  BUY       1.17       1.17    0.02       6.08    WIN             C
   36  BUY       1.17       1.17    0.01       2.00    WIN             C
   37 SELL       1.17       1.17    0.02      -2.87   LOSS             C
   38 SELL       1.17       1.17    0.01      -1.43   LOSS             C
   39 SELL       1.18       1.18    0.02      -2.24   LOSS             C
   40 SELL       1.18       1.18    0.01      -1.12   LOSS             C
   41 SELL       1.18       1.18    0.02      -0.92   LOSS             C
   42 SELL       1.18       1.18    0.01      -0.46   LOSS             C
   43 SELL       1.18       1.18    0.02      -1.16   LOSS             C
   44 SELL       1.18       1.18    0.01      -0.58   LOSS             C
   45 SELL       1.19       1.19    0.02      -1.80   LOSS             C
   46 SELL       1.19       1.19    0.01      -0.90   LOSS             C
   47  BUY       1.18       1.18    0.02      -1.40   LOSS             C
   48  BUY       1.18       1.18    0.01      -0.70   LOSS             C
   49  BUY       1.18       1.18    0.02      -1.94   LOSS             C
   50  BUY       1.18       1.18    0.01      -0.97   LOSS             C
   51  BUY       1.18       1.17    0.02      -2.56   LOSS             C
   52  BUY       1.18       1.17    0.01      -1.28   LOSS             C
   53  BUY       1.17       1.18    0.02      13.46    WIN             C
   54  BUY       1.17       1.18    0.01       7.02    WIN             C
   55 SELL       1.18       1.18    0.02       8.22    WIN             C
   56 SELL       1.18       1.18    0.01       4.40    WIN             C
   57  BUY       1.17       1.17    0.02      -1.87   LOSS             C
   58  BUY       1.17       1.17    0.01      -0.93   LOSS             C
   59  BUY       1.17       1.17    0.06      -4.87   LOSS             B
   60  BUY       1.17       1.17    0.04      -3.25   LOSS             B
   61  BUY       1.16       1.18    0.06      65.28    WIN             A
   62  BUY       1.16       1.18    0.04      45.39    WIN             A
   63  BUY       1.17       1.18    0.06      18.72    WIN             B
   64  BUY       1.17       1.18    0.04       8.00    WIN             B
   65  BUY       1.17       1.18    0.06      37.14    WIN             B
   66  BUY       1.17       1.17    0.04       8.00    WIN             B
   67  BUY       1.17       1.17    0.02      -0.88   LOSS             C
   68  BUY       1.17       1.17    0.01      -0.44   LOSS             C
   69  BUY       1.17       1.16    0.02      -3.59   LOSS             C
   70  BUY       1.17       1.16    0.01      -1.80   LOSS             C
   71  BUY       1.16       1.16    0.02      -1.06   LOSS             C
   72  BUY       1.16       1.16    0.01      -0.53   LOSS             C
   73  BUY       1.16       1.16    0.02      -0.99   LOSS             C
   74  BUY       1.16       1.16    0.01      -0.50   LOSS             C
   75  BUY       1.16       1.16    0.02      -1.51   LOSS             C
   76  BUY       1.16       1.16    0.01      -0.76   LOSS             C
   77  BUY       1.16       1.16    0.06      -3.20   LOSS             B
   78  BUY       1.16       1.16    0.04      -2.13   LOSS             B
   79  BUY       1.16       1.15    0.02      -1.20   LOSS             C
   80  BUY       1.16       1.15    0.01      -0.60   LOSS             C
   81 SELL       1.16       1.16    0.02       4.10    WIN             C
   82 SELL       1.16       1.16    0.01       2.00    WIN             C
   83 SELL       1.16       1.16    0.02      -0.72   LOSS             C
   84 SELL       1.16       1.16    0.01      -0.36   LOSS             C
   85  BUY       1.16       1.16    0.02       0.56    WIN             C
   86  BUY       1.16       1.17    0.01       2.00    WIN             C
   87 SELL       1.17       1.17    0.02      -2.07   LOSS             C
   88 SELL       1.17       1.17    0.01      -1.03   LOSS             C
   89 SELL       1.17       1.17    0.02      -1.28   LOSS             C
   90 SELL       1.17       1.17    0.01      -0.64   LOSS             C
   91  BUY       1.17       1.16    0.02      -1.82   LOSS             C
   92  BUY       1.17       1.16    0.01      -0.91   LOSS             C
   93  BUY       1.17       1.16    0.02      -2.84   LOSS             C
   94  BUY       1.17       1.16    0.01      -1.42   LOSS             C
   95  BUY       1.16       1.16    0.02      -2.66   LOSS             C
   96  BUY       1.16       1.16    0.01      -1.33   LOSS             C
   97  BUY       1.16       1.16    0.02      -2.03   LOSS             C
   98  BUY       1.16       1.16    0.01      -1.01   LOSS             C
   99  BUY       1.16       1.16    0.02      -0.35   LOSS             C
  100  BUY       1.16       1.16    0.01      -0.18   LOSS             C
  101  BUY       1.16       1.16    0.06      13.38    WIN             A
  102  BUY       1.16       1.16    0.04       8.00    WIN             A
  103 SELL       1.17       1.17    0.02      -0.45   LOSS             C
  104 SELL       1.17       1.17    0.01      -0.22   LOSS             C
  105  BUY       1.16       1.17    0.02       2.68    WIN             C
  106  BUY       1.16       1.17    0.01       2.95    WIN             C
  107 SELL       1.17       1.16    0.06      33.72    WIN             B
  108 SELL       1.17       1.16    0.04      22.71    WIN             B
  109  BUY       1.16       1.16    0.02      -3.83   LOSS             C
  110  BUY       1.16       1.16    0.01      -1.91   LOSS             C
  111  BUY       1.15       1.15    0.02      -1.72   LOSS             C
  112  BUY       1.15       1.15    0.01      -0.86   LOSS             C
  113  BUY       1.15       1.15    0.02      -1.22   LOSS             C
  114  BUY       1.15       1.15    0.01      -0.61   LOSS             C
  115  BUY       1.15       1.15    0.06      -2.89   LOSS             B
  116  BUY       1.15       1.15    0.04      -1.93   LOSS             B
  117  BUY       1.15       1.15    0.02      -0.92   LOSS             C
  118  BUY       1.15       1.15    0.01      -0.46   LOSS             C
  119  BUY       1.15       1.15    0.02      -2.13   LOSS             C
  120  BUY       1.15       1.15    0.01      -1.06   LOSS             C
  121  BUY       1.15       1.15    0.02       2.46    WIN             C
  122  BUY       1.15       1.15    0.01       2.00    WIN             C
  123 SELL       1.15       1.15    0.02      -0.64   LOSS             C
  124 SELL       1.15       1.15    0.01      -0.32   LOSS             C
  125 SELL       1.15       1.15    0.02      -0.17   LOSS             C
  126 SELL       1.15       1.15    0.01      -0.09   LOSS             C
  127 SELL       1.16       1.16    0.02      -4.45   LOSS             C
  128 SELL       1.16       1.16    0.01      -2.23   LOSS             C
  129 SELL       1.16       1.16    0.06      -3.24   LOSS             A
  130 SELL       1.16       1.16    0.04      -2.16   LOSS             A
  131 SELL       1.16       1.16    0.02      -1.09   LOSS             C
  132 SELL       1.16       1.16    0.01      -0.55   LOSS             C
  133  BUY       1.16       1.16    0.02      -1.00   LOSS             C
  134  BUY       1.16       1.16    0.01      -0.50   LOSS             C
  135  BUY       1.16       1.16    0.02       8.46    WIN             C
  136  BUY       1.16       1.16    0.01       2.00    WIN             C
  137 SELL       1.16       1.16    0.06      14.52    WIN             B
  138 SELL       1.16       1.16    0.04      13.77    WIN             B
  139 SELL       1.16       1.16    0.06      14.52    WIN             B
  140 SELL       1.16       1.16    0.04      13.85    WIN             B
  141  BUY       1.16       1.16    0.02      -1.58   LOSS             C
  142  BUY       1.16       1.16    0.01      -0.79   LOSS             C
  143  BUY       1.16       1.16    0.02      -1.47   LOSS             C
  144  BUY       1.16       1.16    0.01      -0.73   LOSS             C
  145  BUY       1.16       1.16    0.02      -1.25   LOSS             C
  146  BUY       1.16       1.16    0.01      -0.62   LOSS             C
  147 SELL       1.16       1.16    0.02       2.10    WIN             C
  148 SELL       1.16       1.16    0.01       2.00    WIN             C
  149  BUY       1.16       1.16    0.02      -0.94   LOSS             C
  150  BUY       1.16       1.16    0.01      -0.47   LOSS             C
  151  BUY       1.15       1.15    0.02      -1.22   LOSS             C
  152  BUY       1.15       1.15    0.01      -0.61   LOSS             C
  153  BUY       1.15       1.15    0.02      -0.95   LOSS             C
  154  BUY       1.15       1.15    0.01      -0.48   LOSS             C
  155  BUY       1.15       1.15    0.02       5.24    WIN             C
  156  BUY       1.15       1.15    0.01       2.00    WIN             C
  157  BUY       1.15       1.15    0.06      23.40    WIN             B
  158  BUY       1.15       1.15    0.04       8.00    WIN             B
  159  BUY       1.15       1.16    0.02       7.70    WIN             C
  160  BUY       1.15       1.16    0.01       4.26    WIN             C
  161 SELL       1.16       1.16    0.06      -5.00   LOSS             A
  162 SELL       1.16       1.16    0.04      -3.34   LOSS             A
  163 SELL       1.16       1.16    0.02      -2.99   LOSS             C
  164 SELL       1.16       1.16    0.01      -1.50   LOSS             C
  165 SELL       1.16       1.16    0.02      -1.68   LOSS             C
  166 SELL       1.16       1.16    0.01      -0.84   LOSS             C
  167 SELL       1.16       1.16    0.02      -1.38   LOSS             C
  168 SELL       1.16       1.16    0.01      -0.69   LOSS             C
  169 SELL       1.16       1.16    0.02      -1.00   LOSS             C
  170 SELL       1.16       1.16    0.01      -0.50   LOSS             C
  171 SELL       1.16       1.16    0.02      -1.10   LOSS             C
  172 SELL       1.16       1.16    0.01      -0.55   LOSS             C
  173 SELL       1.17       1.17    0.02      -1.20   LOSS             C
  174 SELL       1.17       1.17    0.01      -0.60   LOSS             C
  175 SELL       1.17       1.17    0.02      -0.77   LOSS             C
  176 SELL       1.17       1.17    0.01      -0.38   LOSS             C
  177 SELL       1.17       1.17    0.02      -0.82   LOSS             C
  178 SELL       1.17       1.17    0.01      -0.41   LOSS             C
  179  BUY       1.17       1.16    0.02      -2.31   LOSS             C
