
???? INICIANDO SIMULA????O HFT INSTITUCIONAL...
-------------------------------------------
??? Configura????es do Rob?? carreadas.
???? Buscando 500 velas de M15 (GOLD)...
???? Dados obtidos: 500 velas.
???? Processando sinais Institucionais...

???? Filtrando opera????es para o dia: 25/03/2026

[25/03/2026, 00:00:00] [WIN] Trade #378 | Lote: 0.01 | P&L: +$17.31 | Saldo: $117.31 ???
[25/03/2026, 00:15:00] [WIN] Trade #379 | Lote: 0.01 | P&L: +$18.14 | Saldo: $135.45 ???
[25/03/2026, 00:30:00] [LOSS] Trade #4 | Lote: 0.01 | P&L: $-11.70 | Saldo: $123.75 ???
[25/03/2026, 00:45:00] [WIN] Trade #381 | Lote: 0.01 | P&L: +$10.05 | Saldo: $133.80 ???
[25/03/2026, 01:00:00] [WIN] Trade #382 | Lote: 0.01 | P&L: +$26.41 | Saldo: $160.21 ???
[25/03/2026, 01:15:00] [WIN] Trade #383 | Lote: 0.01 | P&L: +$10.41 | Saldo: $170.62 ???
[25/03/2026, 01:30:00] [WIN] Trade #384 | Lote: 0.01 | P&L: +$16.93 | Saldo: $187.55 ???
[25/03/2026, 01:45:00] [WIN] Trade #385 | Lote: 0.02 | P&L: +$34.86 | Saldo: $222.41 ???
[25/03/2026, 02:00:00] [WIN] Trade #386 | Lote: 0.02 | P&L: +$32.76 | Saldo: $255.17 ???
[25/03/2026, 02:15:00] [WIN] Trade #387 | Lote: 0.03 | P&L: +$24.45 | Saldo: $279.62 ???
[25/03/2026, 02:30:00] [LOSS] Trade #12 | Lote: 0.03 | P&L: $-24.00 | Saldo: $255.62 ???
[25/03/2026, 02:45:00] [LOSS] Trade #13 | Lote: 0.01 | P&L: $-10.35 | Saldo: $245.27 ???
[25/03/2026, 03:00:00] [WIN] Trade #390 | Lote: 0.01 | P&L: +$12.97 | Saldo: $258.24 ???
[25/03/2026, 03:15:00] [WIN] Trade #391 | Lote: 0.01 | P&L: +$7.72 | Saldo: $265.96 ???
[25/03/2026, 03:30:00] [LOSS] Trade #16 | Lote: 0.01 | P&L: $-4.08 | Saldo: $261.88 ???
[25/03/2026, 03:45:00] [WIN] Trade #393 | Lote: 0.01 | P&L: +$6.37 | Saldo: $268.25 ???
[25/03/2026, 04:00:00] [WIN] Trade #394 | Lote: 0.01 | P&L: +$8.63 | Saldo: $276.88 ???
[25/03/2026, 04:15:00] [WIN] Trade #395 | Lote: 0.01 | P&L: +$3.53 | Saldo: $280.41 ???
[25/03/2026, 04:30:00] [WIN] Trade #396 | Lote: 0.01 | P&L: +$8.12 | Saldo: $288.53 ???
[25/03/2026, 04:45:00] [LOSS] Trade #21 | Lote: 0.02 | P&L: $-5.85 | Saldo: $282.68 ???
[25/03/2026, 05:00:00] [WIN] Trade #398 | Lote: 0.01 | P&L: +$6.59 | Saldo: $289.27 ???
[25/03/2026, 05:15:00] [WIN] Trade #399 | Lote: 0.01 | P&L: +$17.80 | Saldo: $307.07 ???
[25/03/2026, 05:30:00] [WIN] Trade #400 | Lote: 0.01 | P&L: +$17.44 | Saldo: $324.51 ???
