
???? INICIANDO SIMULA????O HFT INSTITUCIONAL...
-------------------------------------------
??? Configura????es do Rob?? carreadas.
???? Buscando 500 velas de M15 (GOLD)...
???? Dados obtidos: 500 velas.
???? Processando sinais Institucionais...

???? Per??odo: 23/03 a 25/03 (3 Dias Acumulados)

[23/03/2026, 00:00:00] [WIN] Trade #194 | Lote: 0.01 | P&L: +$47.71 | Saldo: $147.71 ???
[23/03/2026, 00:15:00] [WIN] Trade #195 | Lote: 0.01 | P&L: +$40.76 | Saldo: $188.47 ???
[23/03/2026, 00:30:00] [LOSS] Trade #4 | Lote: 0.01 | P&L: $-53.28 | Saldo: $135.19 ???
[23/03/2026, 00:45:00] [WIN] Trade #197 | Lote: 0.01 | P&L: +$51.13 | Saldo: $186.32 ???
[23/03/2026, 01:00:00] [LOSS] Trade #6 | Lote: 0.01 | P&L: $-46.06 | Saldo: $140.26 ???
[23/03/2026, 01:15:00] [WIN] Trade #199 | Lote: 0.01 | P&L: +$36.64 | Saldo: $176.90 ???
[23/03/2026, 01:30:00] [WIN] Trade #200 | Lote: 0.01 | P&L: +$37.64 | Saldo: $214.54 ???
[23/03/2026, 01:45:00] [WIN] Trade #201 | Lote: 0.01 | P&L: +$55.47 | Saldo: $270.01 ???
[23/03/2026, 02:00:00] [WIN] Trade #202 | Lote: 0.01 | P&L: +$38.66 | Saldo: $308.67 ???
[23/03/2026, 02:15:00] [WIN] Trade #203 | Lote: 0.02 | P&L: +$45.46 | Saldo: $354.13 ???
[23/03/2026, 02:30:00] [WIN] Trade #204 | Lote: 0.02 | P&L: +$62.20 | Saldo: $416.33 ???
[23/03/2026, 02:45:00] [WIN] Trade #205 | Lote: 0.03 | P&L: +$89.73 | Saldo: $506.06 ???
[23/03/2026, 03:00:00] [WIN] Trade #206 | Lote: 0.03 | P&L: +$89.58 | Saldo: $595.64 ???
[23/03/2026, 03:15:00] [WIN] Trade #207 | Lote: 0.03 | P&L: +$55.23 | Saldo: $650.87 ???
[23/03/2026, 03:30:00] [WIN] Trade #208 | Lote: 0.03 | P&L: +$88.68 | Saldo: $739.55 ???
[23/03/2026, 03:45:00] [WIN] Trade #209 | Lote: 0.03 | P&L: +$69.60 | Saldo: $809.15 ???
[23/03/2026, 04:00:00] [WIN] Trade #210 | Lote: 0.03 | P&L: +$52.62 | Saldo: $861.77 ???
[23/03/2026, 04:15:00] [WIN] Trade #211 | Lote: 0.03 | P&L: +$27.03 | Saldo: $888.80 ???
[23/03/2026, 04:30:00] [WIN] Trade #212 | Lote: 0.03 | P&L: +$64.74 | Saldo: $953.54 ???
[23/03/2026, 04:45:00] [WIN] Trade #213 | Lote: 0.03 | P&L: +$79.47 | Saldo: $1033.01 ???
[23/03/2026, 05:00:00] [WIN] Trade #214 | Lote: 0.03 | P&L: +$41.70 | Saldo: $1074.71 ???
[23/03/2026, 05:15:00] [WIN] Trade #215 | Lote: 0.03 | P&L: +$66.75 | Saldo: $1141.46 ???
[23/03/2026, 05:30:00] [LOSS] Trade #24 | Lote: 0.03 | P&L: $-54.06 | Saldo: $1087.40 ???
[23/03/2026, 05:45:00] [WIN] Trade #217 | Lote: 0.01 | P&L: +$24.33 | Saldo: $1111.73 ???
[23/03/2026, 06:00:00] [WIN] Trade #218 | Lote: 0.01 | P&L: +$40.02 | Saldo: $1151.75 ???
[23/03/2026, 06:15:00] [WIN] Trade #219 | Lote: 0.01 | P&L: +$71.13 | Saldo: $1222.88 ???
[23/03/2026, 06:30:00] [WIN] Trade #220 | Lote: 0.01 | P&L: +$67.01 | Saldo: $1289.89 ???
[23/03/2026, 06:45:00] [WIN] Trade #221 | Lote: 0.02 | P&L: +$134.52 | Saldo: $1424.41 ???
[23/03/2026, 07:00:00] [WIN] Trade #222 | Lote: 0.02 | P&L: +$190.58 | Saldo: $1614.99 ???
[23/03/2026, 07:15:00] [WIN] Trade #223 | Lote: 0.03 | P&L: +$182.01 | Saldo: $1797.00 ???
