
???? INICIANDO SIMULA????O HFT INSTITUCIONAL...
-------------------------------------------
??? Configura????es do Rob?? carreadas.
???? Buscando 500 velas de M15 (GOLD)...
???? Dados obtidos: 500 velas.
???? Processando sinais Institucionais...

???? Per??odo: 23/03 a 25/03 (3 Dias Acumulados)

[23/03/2026, 00:00:00] [LOSS] Trade #2 | Lote: 0.01 | P&L: $-23.86 | Saldo: $76.14 ???
[23/03/2026, 00:15:00] [WIN] Trade #195 | Lote: 0.01 | P&L: +$40.76 | Saldo: $116.90 ???
[23/03/2026, 00:30:00] [WIN] Trade #196 | Lote: 0.01 | P&L: +$106.55 | Saldo: $223.45 ???
[23/03/2026, 00:45:00] [LOSS] Trade #5 | Lote: 0.01 | P&L: $-25.57 | Saldo: $197.89 ???
[23/03/2026, 01:00:00] [WIN] Trade #198 | Lote: 0.01 | P&L: +$92.13 | Saldo: $290.02 ???
[23/03/2026, 01:15:00] [WIN] Trade #199 | Lote: 0.01 | P&L: +$36.64 | Saldo: $326.66 ???
[23/03/2026, 01:30:00] [WIN] Trade #200 | Lote: 0.01 | P&L: +$37.64 | Saldo: $364.30 ???
[23/03/2026, 01:45:00] [WIN] Trade #201 | Lote: 0.01 | P&L: +$55.47 | Saldo: $419.77 ???
[23/03/2026, 02:00:00] [LOSS] Trade #10 | Lote: 0.02 | P&L: $-38.66 | Saldo: $381.11 ???
[23/03/2026, 02:15:00] [WIN] Trade #203 | Lote: 0.01 | P&L: +$22.73 | Saldo: $403.84 ???
[23/03/2026, 02:30:00] [LOSS] Trade #12 | Lote: 0.01 | P&L: $-15.55 | Saldo: $388.29 ???
[23/03/2026, 02:45:00] [WIN] Trade #205 | Lote: 0.01 | P&L: +$29.91 | Saldo: $418.20 ???
[23/03/2026, 03:00:00] [LOSS] Trade #14 | Lote: 0.01 | P&L: $-14.93 | Saldo: $403.27 ???
[23/03/2026, 03:15:00] [WIN] Trade #207 | Lote: 0.01 | P&L: +$18.41 | Saldo: $421.68 ???
[23/03/2026, 03:30:00] [WIN] Trade #208 | Lote: 0.01 | P&L: +$29.56 | Saldo: $451.24 ???
[23/03/2026, 03:45:00] [WIN] Trade #209 | Lote: 0.01 | P&L: +$23.20 | Saldo: $474.44 ???
[23/03/2026, 04:00:00] [WIN] Trade #210 | Lote: 0.01 | P&L: +$17.54 | Saldo: $491.98 ???
